metric_date,run_id,city,pollutant,total_records,null_rate,duplicate_rate,stale_rate,outlier_rate,flagged_rate,rejected_rate,pass_rate,quality_status
2023-01-04,run_4168eefe,apba,co,587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-09,run_4168eefe,apba,co,656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-13,run_4168eefe,apba,co,814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-01-31,run_4168eefe,apba,co,343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-02-02,run_4168eefe,apba,co,856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-02-04,run_4168eefe,apba,co,952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-02-23,run_4168eefe,apba,co,924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-04,run_4168eefe,apba,co,867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-08,run_4168eefe,apba,co,916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-15,run_4168eefe,apba,co,1190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-07-24,run_4168eefe,apba,co,1161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-11,run_4168eefe,apba,co,1027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-21,run_4168eefe,apba,co,961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-08-25,run_4168eefe,apba,co,1061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-09-29,run_4168eefe,apba,co,1009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-03,run_4168eefe,apba,co,1046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-04,run_4168eefe,apba,co,996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-05,run_4168eefe,apba,co,1004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-06,run_4168eefe,apba,co,1088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-10,run_4168eefe,apba,co,957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-12,run_4168eefe,apba,co,990,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-24,run_4168eefe,apba,co,769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-25,run_4168eefe,apba,co,845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-27,run_4168eefe,apba,co,683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-10-30,run_4168eefe,apba,co,982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-16,run_4168eefe,apba,co,834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-19,run_4168eefe,apba,co,749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-24,run_4168eefe,apba,co,934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-27,run_4168eefe,apba,co,895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-11-29,run_4168eefe,apba,co,924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-02,run_4168eefe,apba,co,914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-03,run_4168eefe,apba,co,903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-10,run_4168eefe,apba,co,909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2023-12-26,run_4168eefe,apba,co,889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-06,run_4168eefe,apba,co,1069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-18,run_4168eefe,apba,co,880,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
2024-01-24,run_4168eefe,apba,co,957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pass
